uni1B1D5	 𛇕 	NUSHU CHARACTER-1B1D5
uni1B1D6	 𛇖 	NUSHU CHARACTER-1B1D6
uni1B1D7	 𛇗 	NUSHU CHARACTER-1B1D7
uni1B1D8	 𛇘 	NUSHU CHARACTER-1B1D8
uni1B1D9	 𛇙 	NUSHU CHARACTER-1B1D9
uni1B1DA	 𛇚 	NUSHU CHARACTER-1B1DA
uni1B1DB	 𛇛 	NUSHU CHARACTER-1B1DB
uni1B1DC	 𛇜 	NUSHU CHARACTER-1B1DC
uni1B1DD	 𛇝 	NUSHU CHARACTER-1B1DD
uni1B1DE	 𛇞 	NUSHU CHARACTER-1B1DE
uni1B1DF	 𛇟 	NUSHU CHARACTER-1B1DF
uni1B1E0	 𛇠 	NUSHU CHARACTER-1B1E0
uni1B1E1	 𛇡 	NUSHU CHARACTER-1B1E1
uni1B1E2	 𛇢 	NUSHU CHARACTER-1B1E2
uni1B1E3	 𛇣 	NUSHU CHARACTER-1B1E3
uni1B1E4	 𛇤 	NUSHU CHARACTER-1B1E4
uni1B1E5	 𛇥 	NUSHU CHARACTER-1B1E5
uni1B1E6	 𛇦 	NUSHU CHARACTER-1B1E6
uni1B1E7	 𛇧 	NUSHU CHARACTER-1B1E7
uni1B1E8	 𛇨 	NUSHU CHARACTER-1B1E8
uni1B1E9	 𛇩 	NUSHU CHARACTER-1B1E9
uni1B1EA	 𛇪 	NUSHU CHARACTER-1B1EA
uni1B1EB	 𛇫 	NUSHU CHARACTER-1B1EB
uni1B1EC	 𛇬 	NUSHU CHARACTER-1B1EC
uni1B1ED	 𛇭 	NUSHU CHARACTER-1B1ED
uni1B1EE	 𛇮 	NUSHU CHARACTER-1B1EE
uni1B1EF	 𛇯 	NUSHU CHARACTER-1B1EF
uni1B1F0	 𛇰 	NUSHU CHARACTER-1B1F0
uni1B1F1	 𛇱 	NUSHU CHARACTER-1B1F1
uni1B1F2	 𛇲 	NUSHU CHARACTER-1B1F2
uni1B1F3	 𛇳 	NUSHU CHARACTER-1B1F3
uni1B1F4	 𛇴 	NUSHU CHARACTER-1B1F4
uni1B1F5	 𛇵 	NUSHU CHARACTER-1B1F5
uni1B1F6	 𛇶 	NUSHU CHARACTER-1B1F6
uni1B1F7	 𛇷 	NUSHU CHARACTER-1B1F7
uni1B1F8	 𛇸 	NUSHU CHARACTER-1B1F8
uni1B1F9	 𛇹 	NUSHU CHARACTER-1B1F9
uni1B1FA	 𛇺 	NUSHU CHARACTER-1B1FA
uni1B1FB	 𛇻 	NUSHU CHARACTER-1B1FB
uni1B1FC	 𛇼 	NUSHU CHARACTER-1B1FC
uni1B1FD	 𛇽 	NUSHU CHARACTER-1B1FD
uni1B1FE	 𛇾 	NUSHU CHARACTER-1B1FE
uni1B1FF	 𛇿 	NUSHU CHARACTER-1B1FF
uni1B200	 𛈀 	NUSHU CHARACTER-1B200
uni1B201	 𛈁 	NUSHU CHARACTER-1B201
uni1B202	 𛈂 	NUSHU CHARACTER-1B202
uni1B203	 𛈃 	NUSHU CHARACTER-1B203
uni1B204	 𛈄 	NUSHU CHARACTER-1B204
uni1B205	 𛈅 	NUSHU CHARACTER-1B205
uni1B206	 𛈆 	NUSHU CHARACTER-1B206
uni1B207	 𛈇 	NUSHU CHARACTER-1B207
uni1B208	 𛈈 	NUSHU CHARACTER-1B208
uni1B209	 𛈉 	NUSHU CHARACTER-1B209
uni1B20A	 𛈊 	NUSHU CHARACTER-1B20A
uni1B20B	 𛈋 	NUSHU CHARACTER-1B20B
uni1B20C	 𛈌 	NUSHU CHARACTER-1B20C
uni1B20D	 𛈍 	NUSHU CHARACTER-1B20D
uni1B20E	 𛈎 	NUSHU CHARACTER-1B20E
uni1B20F	 𛈏 	NUSHU CHARACTER-1B20F
uni1B210	 𛈐 	NUSHU CHARACTER-1B210
uni1B211	 𛈑 	NUSHU CHARACTER-1B211
uni1B212	 𛈒 	NUSHU CHARACTER-1B212
uni1B213	 𛈓 	NUSHU CHARACTER-1B213
uni1B214	 𛈔 	NUSHU CHARACTER-1B214
uni1B215	 𛈕 	NUSHU CHARACTER-1B215
uni1B216	 𛈖 	NUSHU CHARACTER-1B216
uni1B217	 𛈗 	NUSHU CHARACTER-1B217
uni1B218	 𛈘 	NUSHU CHARACTER-1B218
uni1B219	 𛈙 	NUSHU CHARACTER-1B219
uni1B21A	 𛈚 	NUSHU CHARACTER-1B21A
uni1B21B	 𛈛 	NUSHU CHARACTER-1B21B
uni1B21C	 𛈜 	NUSHU CHARACTER-1B21C
uni1B21D	 𛈝 	NUSHU CHARACTER-1B21D
uni1B21E	 𛈞 	NUSHU CHARACTER-1B21E
uni1B21F	 𛈟 	NUSHU CHARACTER-1B21F
uni1B220	 𛈠 	NUSHU CHARACTER-1B220
uni1B221	 𛈡 	NUSHU CHARACTER-1B221
uni1B222	 𛈢 	NUSHU CHARACTER-1B222
uni1B223	 𛈣 	NUSHU CHARACTER-1B223
uni1B224	 𛈤 	NUSHU CHARACTER-1B224
uni1B225	 𛈥 	NUSHU CHARACTER-1B225
uni1B226	 𛈦 	NUSHU CHARACTER-1B226
uni1B227	 𛈧 	NUSHU CHARACTER-1B227
uni1B228	 𛈨 	NUSHU CHARACTER-1B228
uni1B229	 𛈩 	NUSHU CHARACTER-1B229
uni1B22A	 𛈪 	NUSHU CHARACTER-1B22A
uni1B22B	 𛈫 	NUSHU CHARACTER-1B22B
uni1B22C	 𛈬 	NUSHU CHARACTER-1B22C
uni1B22D	 𛈭 	NUSHU CHARACTER-1B22D
uni1B22E	 𛈮 	NUSHU CHARACTER-1B22E
uni1B22F	 𛈯 	NUSHU CHARACTER-1B22F
uni1B230	 𛈰 	NUSHU CHARACTER-1B230
uni1B231	 𛈱 	NUSHU CHARACTER-1B231
uni1B232	 𛈲 	NUSHU CHARACTER-1B232
uni1B233	 𛈳 	NUSHU CHARACTER-1B233
